,,,当年,当年,当年,当年,当年,当年,当年,当年,当日,当日,当日,当日,当日,当日,当日,当日,当月,当月,当月,当月,当月,当月,当月,当月
大个险,互动渠道,河北省分公司,84.6824,1601.952606,27.088639,1686.635006,-0.798831359,3.034567713,-0.59883709,1.061878035,0,2.751796,0.2282,2.751796,0,-0.099990842,-0.730213488,-0.099990842,0,2.751796,0.2282,2.751796,0,-0.099990842,-0.730213488,-0.099990842
大个险,互动渠道,河南省分公司,1.32,75.92225,7.605607,77.24225,-0.969241811,-0.728303187,-0.814947001,-0.760379773,0,0.001,0.1085,0.001,0,0,-0.65664557,0,0,0.001,0.1085,0.001,0,0,-0.65664557,0
大个险,互动渠道,湖北省分公司,12.54,163.447274,47.698122,175.987274,-0.854461892,0.044500322,0.159415082,-0.274718038,0,5.974033,0.9358,5.974033,0,0.895230859,0.108899159,0.895230859,0,5.974033,0.9358,5.974033,0,0.895230859,0.108899159,0.895230859
大个险,互动渠道,湖南省分公司,17.49839,5083.779421,47.27093,5101.277811,-0.94414571,-0.495652269,-0.419282058,-0.509171393,0,32.864973,0.6231,32.864973,0,5.807330132,-0.557771469,5.807330132,0,32.864973,0.6231,32.864973,0,5.807330132,-0.557771469,5.807330132
大个险,互动渠道,福建省分公司,7.051,1153.50627,14.158381,1160.55727,-0.728044124,-0.286086776,-0.562001087,-0.293066602,0,1.612378,0.259055,1.612378,0,7.118721047,-0.326613899,7.118721047,0,1.612378,0.259055,1.612378,0,7.118721047,-0.326613899,7.118721047
大个险,互动渠道,黑龙江分公司,5.94,26.34068,4.961947,32.28068,-0.817875211,0.22850716,-0.861133619,-0.402831238,0,0,0.02,0,0,0,-0.818181818,0,0,0,0.02,0,0,0,-0.818181818,0
大个险,服务营销渠道,北京市分公司,158.5518,2068.916265,95.697635,2227.468065,-0.265059504,1.730660489,0.695235996,1.28834801,1.32,12.517494,3.617481,13.837494,0,4.003395155,10.48771356,4.531015269,1.32,12.517494,3.617481,13.837494,0,4.003395155,10.48771356,4.531015269
大个险,服务营销渠道,安徽省分公司,22.297,492.01184,139.376257,514.30884,-0.856677202,0.381615445,0.621581281,0.005127159,0,6.06809,2.7799,6.06809,0,0.297917758,1.173155097,0.297917758,0,6.06809,2.7799,6.06809,0,0.297917758,1.173155097,0.297917758
大个险,服务营销渠道,河北省分公司,182.1523,2929.36772,345.122958,3111.52002,-0.405556274,-0.073422308,1.998504175,-0.102769636,0,33.345075,6.6803,33.345075,0,0.978619153,2.499921412,0.978619153,0,33.345075,6.6803,33.345075,0,0.978619153,2.499921412,0.978619153
大个险,服务营销渠道,河南省分公司,169.39604,1149.648849,147.171446,1319.044889,0.594017121,1.763182122,2.159610616,1.525311174,0,11.100885,2.098,11.100885,0,16.68304475,1.994148708,16.68304475,0,11.100885,2.098,11.100885,0,16.68304475,1.994148708,16.68304475
大个险,服务营销渠道,湖北省分公司,57.6884,943.880845,171.969953,1001.569245,-0.933371955,1.021523563,1.990731443,-0.248490436,0,10.800124,6.368629,10.800124,0,-0.196385263,3.014263473,-0.196385263,0,10.800124,6.368629,10.800124,0,-0.196385263,3.014263473,-0.196385263
大个险,服务营销渠道,湖南省分公司,356.82841,1262.73431,144.383805,1619.56272,0.287449736,0.395039954,1.693197658,0.369818667,0,16.574814,3.403298,16.574814,0,1.109471538,0.995723907,1.109471538,0,16.574814,3.403298,16.574814,0,1.109471538,0.995723907,1.109471538
大个险,服务营销渠道,福建省分公司,0.55,280.201403,44.964118,280.751403,-0.821428571,3.314851755,0.257732289,3.127554438,0,1.365367,0.392459,1.365367,0,3.404409677,7.879162896,3.404409677,0,1.365367,0.392459,1.365367,0,3.404409677,7.879162896,3.404409677
大个险,服务营销渠道,黑龙江分公司,32.0056,1224.388991,102.639565,1256.394591,-0.653998002,0.695928677,0.877061308,0.542612386,0,9.818979,1.801254,9.818979,0,0.882220369,0.817429119,0.882220369,0,9.818979,1.801254,9.818979,0,0.882220369,0.817429119,0.882220369
非大个险,团险渠道,北京市分公司,106.866589,16752.00767,29030.56014,16858.87426,-0.634875446,-0.114190599,1.161601529,-0.122126191,0,30.838422,27.845577,30.838422,-1,-0.327495753,2.676569101,-0.346312603,0,30.838422,27.845577,30.838422,-1,-0.327495753,2.676569101,-0.346312603
非大个险,团险渠道,安徽省分公司,5.61,654.026175,697.032497,659.636175,-0.714605484,0.067012851,-0.028932787,0.042725645,0,0.440145,18.60263,0.440145,0,-0.446260977,-0.12757513,-0.446260977,0,0.440145,18.60263,0.440145,0,-0.446260977,-0.12757513,-0.446260977
非大个险,团险渠道,河北省分公司,231.1639,1497.712652,1676.156198,1728.876552,-0.665687773,-0.420462445,-0.258143652,-0.472225239,0,37.580335,79.13596,37.580335,0,2.426046197,3.646924899,2.426046197,0,37.580335,79.13596,37.580335,0,2.426046197,3.646924899,2.426046197
非大个险,团险渠道,河南省分公司,5.247,16581.68571,2637.606876,16586.93271,-0.951499822,17.05182398,-0.276223205,15.15486604,0,9.915037,1396.70901,9.915037,0,0,180.8915729,0,0,9.915037,1396.70901,9.915037,0,0,180.8915729,0
非大个险,团险渠道,湖北省分公司,58.498,268.707578,1894.581276,327.205578,-0.453611425,-0.800264923,-0.40250499,-0.774711219,0,4.541328,18.15314,4.541328,0,5.36396861,-0.009309461,5.36396861,0,4.541328,18.15314,4.541328,0,5.36396861,-0.009309461,5.36396861
非大个险,团险渠道,湖南省分公司,19.811,2619.747777,4056.824593,2639.558777,-0.718316468,-0.468553857,-0.114663348,-0.472067193,0,8.421682,4.1751,8.421682,0,3.260346223,0.626894751,3.260346223,0,8.421682,4.1751,8.421682,0,3.260346223,0.626894751,3.260346223
非大个险,团险渠道,福建省分公司,3.6355,388.606812,617.562882,392.242312,-0.326197757,-0.983393279,-0.539552374,-0.983241784,0,4.770603,5.698225,4.770603,0,0,0.997116597,0,0,4.770603,5.698225,4.770603,0,0,0.997116597,0
非大个险,团险渠道,黑龙江分公司,9.8285,14.544524,583.636903,24.373024,-0.801730833,-0.832228464,-0.551700588,-0.821133722,0,1.042964,19.471485,1.042964,0,0,-0.089154581,0,0,1.042964,19.471485,1.042964,0,0,-0.089154581,0
非大个险,电销渠道,北京市分公司,0,14.2104,131.890186,14.2104,0,0.149327488,-0.429848235,0.149327488,0,0,2.4172,0,0,0,0.67303433,0,0,0,2.4172,0,0,0,0.67303433,0
非大个险,电销渠道,安徽省分公司,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
非大个险,电销渠道,河北省分公司,0,0,112.8517,0,0,0,-0.77666794,0,0,0,0.642,0,0,0,-0.876276739,0,0,0,0.642,0,0,0,-0.876276739,0
非大个险,电销渠道,河南省分公司,0,0,6.617829,0,0,0,0.113333855,0,0,0,0.2538,0,0,0,1.426386233,0,0,0,0.2538,0,0,0,1.426386233,0
非大个险,电销渠道,湖北省分公司,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
非大个险,电销渠道,湖南省分公司,0,0.16,0.2086,0.16,0,-0.903540079,-0.83094254,-0.903540079,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0
非大个险,电销渠道,福建省分公司,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
非大个险,电销渠道,黑龙江分公司,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
非大个险,银邮渠道,北京市分公司,22045.2479,993.357836,11.515554,23038.60574,-0.610078279,-0.610666306,-0.715200808,-0.61010367,0,0.797316,0.2282,0.797316,0,-0.939953684,0.616147309,-0.939953684,0,0.797316,0.2282,0.797316,0,-0.939953684,0.616147309,-0.939953684
非大个险,银邮渠道,安徽省分公司,37534.7706,151.29804,20.165606,37686.06864,-0.605841165,-0.69082482,-0.693555534,-0.606275651,-10,1.75982,0.8388,-8.24018,0,1.063675595,0.677264547,-10.66295323,-10,1.75982,0.8388,-8.24018,0,1.063675595,0.677264547,-10.66295323
非大个险,银邮渠道,河北省分公司,76605.5004,753.060789,38.532467,77358.56119,-0.51096606,-0.787604979,-0.79426233,-0.517088968,0,22.92908,0.7408,22.92908,0,-0.549155788,-0.602788204,-0.549155788,0,22.92908,0.7408,22.92908,0,-0.549155788,-0.602788204,-0.549155788
非大个险,银邮渠道,河南省分公司,68020.9641,784.147998,11.24522,68805.1121,-0.647929843,-0.721888397,-0.788190773,-0.648993647,0,11.078985,0.0736,11.078985,0,-0.549656175,-0.904253935,-0.549656175,0,11.078985,0.0736,11.078985,0,-0.549656175,-0.904253935,-0.549656175
非大个险,银邮渠道,湖北省分公司,78973.5265,1341.160374,53.36414,80314.68687,-0.255273244,-0.376868406,-0.597950944,-0.257692079,0,16.780384,0.6517,16.780384,0,0.072635446,-0.605842268,0.072635446,0,16.780384,0.6517,16.780384,0,0.072635446,-0.605842268,0.072635446
非大个险,银邮渠道,湖南省分公司,101988.1628,1233.937061,26.765888,103222.0999,-0.197754137,-0.794629435,-0.639835976,-0.224690612,0,34.39534,0.4722,34.39534,-1,-0.252983097,-0.403411244,-0.236398786,0,34.39534,0.4722,34.39534,-1,-0.252983097,-0.403411244,-0.236398786
非大个险,银邮渠道,福建省分公司,13917.8295,535.97625,128.647954,14453.80575,-0.539022262,-0.731998636,0.195860085,-0.551010804,0,9.04398,1.1744,9.04398,0,-0.277166846,4.537010844,-0.277166846,0,9.04398,1.1744,9.04398,0,-0.277166846,4.537010844,-0.277166846
非大个险,银邮渠道,黑龙江分公司,23501.3448,550.56618,15.949304,24051.91098,-0.547824411,-0.684568612,-0.71984717,-0.552267475,0,7.2786,1.6468,7.2786,0,-0.437465511,1.511897498,-0.437465511,0,7.2786,1.6468,7.2786,0,-0.437465511,1.511897498,-0.437465511
