,,,,,当年,当日,当月
中短存续期产品,大个险,湖南省分公司,服务营销渠道,保费合计,1427.31364,0,125.2535522
中短存续期产品,大个险,湖南省分公司,服务营销渠道,同比增速,0.287449736,0,0.182594439
中短存续期产品,大个险,福建省分公司,个险渠道,保费合计,52.756,0,6.143376778
中短存续期产品,大个险,福建省分公司,个险渠道,同比增速,-0.418807562,0,-0.223730022
中短存续期产品,大个险,福建省分公司,互动渠道,保费合计,28.204,0,2.568507582
中短存续期产品,大个险,福建省分公司,互动渠道,同比增速,-0.728044124,0,-0.771851554
中短存续期产品,大个险,福建省分公司,服务营销渠道,保费合计,2.2,0,0.231715311
中短存续期产品,大个险,福建省分公司,服务营销渠道,同比增速,-0.821428571,0,-0.743679535
中短存续期产品,大个险,黑龙江分公司,个险渠道,保费合计,2.64,0,0.228087223
中短存续期产品,大个险,黑龙江分公司,个险渠道,同比增速,-0.945454545,0,-1.035001201
中短存续期产品,大个险,黑龙江分公司,互动渠道,保费合计,23.76,0,1.860056577
中短存续期产品,大个险,黑龙江分公司,互动渠道,同比增速,-0.817875211,0,-0.868955725
中短存续期产品,大个险,黑龙江分公司,服务营销渠道,保费合计,128.0224,0,13.28207401
中短存续期产品,大个险,黑龙江分公司,服务营销渠道,同比增速,-0.653998002,0,-0.656816225
中短存续期产品,非大个险,北京市分公司,团险渠道,保费合计,427.466356,0,35.23161151
中短存续期产品,非大个险,北京市分公司,团险渠道,同比增速,-0.634875446,-1,-0.604628256
中短存续期产品,非大个险,北京市分公司,电销渠道,保费合计,0,0,0
中短存续期产品,非大个险,北京市分公司,电销渠道,同比增速,0,0,0
中短存续期产品,非大个险,北京市分公司,银邮渠道,保费合计,88180.9916,0,7821.265104
中短存续期产品,非大个险,北京市分公司,银邮渠道,同比增速,-0.610078279,0,-0.677324324
中短存续期产品,非大个险,安徽省分公司,团险渠道,保费合计,22.44,0,1.989204104
中短存续期产品,非大个险,安徽省分公司,团险渠道,同比增速,-0.714605484,0,-0.795920112
中短存续期产品,非大个险,安徽省分公司,电销渠道,保费合计,0,0,0
中短存续期产品,非大个险,安徽省分公司,电销渠道,同比增速,0,0,0
中短存续期产品,非大个险,安徽省分公司,银邮渠道,保费合计,150139.0824,-10,12152.23614
中短存续期产品,非大个险,安徽省分公司,银邮渠道,同比增速,-0.605841165,0,-0.646019259
中短存续期产品,非大个险,河北省分公司,团险渠道,保费合计,924.6556,0,105.8006374
中短存续期产品,非大个险,河北省分公司,团险渠道,同比增速,-0.665687773,0,-0.619409547
中短存续期产品,非大个险,河北省分公司,电销渠道,保费合计,0,0,0
中短存续期产品,非大个险,河北省分公司,电销渠道,同比增速,0,0,0
中短存续期产品,非大个险,河北省分公司,银邮渠道,保费合计,306422.0016,0,25315.99193
中短存续期产品,非大个险,河北省分公司,银邮渠道,同比增速,-0.51096606,0,-0.438057004
中短存续期产品,非大个险,河南省分公司,团险渠道,保费合计,20.988,0,1.712192733
中短存续期产品,非大个险,河南省分公司,团险渠道,同比增速,-0.951499822,0,-0.837559754
中短存续期产品,非大个险,河南省分公司,电销渠道,保费合计,0,0,0
中短存续期产品,非大个险,河南省分公司,电销渠道,同比增速,0,0,0
中短存续期产品,非大个险,河南省分公司,银邮渠道,保费合计,272083.8564,0,21248.77675
中短存续期产品,非大个险,河南省分公司,银邮渠道,同比增速,-0.647929843,0,-0.716410852
中短存续期产品,非大个险,湖北省分公司,团险渠道,保费合计,233.992,0,22.80978222
中短存续期产品,非大个险,湖北省分公司,团险渠道,同比增速,-0.453611425,0,-0.511496391
中短存续期产品,非大个险,湖北省分公司,电销渠道,保费合计,0,0,0
中短存续期产品,非大个险,湖北省分公司,电销渠道,同比增速,0,0,0
中短存续期产品,非大个险,湖北省分公司,银邮渠道,保费合计,315894.106,0,26080.37332
中短存续期产品,非大个险,湖北省分公司,银邮渠道,同比增速,-0.255273244,0,-0.371788228
中短存续期产品,非大个险,湖南省分公司,团险渠道,保费合计,79.244,0,5.741631104
中短存续期产品,非大个险,湖南省分公司,团险渠道,同比增速,-0.718316468,0,-0.671750224
中短存续期产品,非大个险,湖南省分公司,电销渠道,保费合计,0,0,0
中短存续期产品,非大个险,湖南省分公司,电销渠道,同比增速,0,0,0
中短存续期产品,非大个险,湖南省分公司,银邮渠道,保费合计,407952.6512,0,27239.51068
中短存续期产品,非大个险,湖南省分公司,银邮渠道,同比增速,-0.197754137,-1,-0.008165219
中短存续期产品,非大个险,福建省分公司,团险渠道,保费合计,14.542,0,1.012846254
中短存续期产品,非大个险,福建省分公司,团险渠道,同比增速,-0.326197757,0,-0.344190241
中短存续期产品,非大个险,福建省分公司,电销渠道,保费合计,0,0,0
中短存续期产品,非大个险,福建省分公司,电销渠道,同比增速,0,0,0
中短存续期产品,非大个险,福建省分公司,银邮渠道,保费合计,55671.318,0,3945.828829
中短存续期产品,非大个险,福建省分公司,银邮渠道,同比增速,-0.539022262,0,-0.579339957
中短存续期产品,非大个险,黑龙江分公司,团险渠道,保费合计,39.314,0,2.721654482
中短存续期产品,非大个险,黑龙江分公司,团险渠道,同比增速,-0.801730833,0,-0.780903335
中短存续期产品,非大个险,黑龙江分公司,电销渠道,保费合计,0,0,0
中短存续期产品,非大个险,黑龙江分公司,电销渠道,同比增速,0,0,0
中短存续期产品,非大个险,黑龙江分公司,银邮渠道,保费合计,94005.3792,0,7394.584683
中短存续期产品,非大个险,黑龙江分公司,银邮渠道,同比增速,-0.547824411,0,-0.477167094
其他长险趸交,大个险,北京市分公司,个险渠道,保费合计,4329.624048,3.844362,360.1717023
其他长险趸交,大个险,北京市分公司,个险渠道,同比增速,-0.164854158,0.788557844,0.013732891
其他长险趸交,大个险,北京市分公司,互动渠道,保费合计,11490.75464,0.645716,937.7280488
其他长险趸交,大个险,北京市分公司,互动渠道,同比增速,-0.543588713,321.858,-0.503389777
其他长险趸交,大个险,北京市分公司,服务营销渠道,保费合计,8275.66506,12.517494,524.8957795
其他长险趸交,大个险,北京市分公司,服务营销渠道,同比增速,1.730660489,4.003395155,1.595884583
其他长险趸交,大个险,安徽省分公司,个险渠道,保费合计,2414.707676,7.63815,173.2364921
其他长险趸交,大个险,安徽省分公司,个险渠道,同比增速,-0.259155806,-0.190552391,-0.376468147
其他长险趸交,大个险,安徽省分公司,互动渠道,保费合计,411.95488,0.002,25.92991725
其他长险趸交,大个险,安徽省分公司,互动渠道,同比增速,-0.798401529,0,-0.839763427
其他长险趸交,大个险,安徽省分公司,服务营销渠道,保费合计,1968.04736,6.06809,187.3422588
其他长险趸交,大个险,安徽省分公司,服务营销渠道,同比增速,0.381615445,0.297917758,0.573909648
其他长险趸交,大个险,河北省分公司,个险渠道,保费合计,9221.611476,32.73342,586.0528992
其他长险趸交,大个险,河北省分公司,个险渠道,同比增速,-0.085132281,-0.2082901,0.005472185
其他长险趸交,大个险,河北省分公司,互动渠道,保费合计,6407.810424,2.751796,623.4765366
其他长险趸交,大个险,河北省分公司,互动渠道,同比增速,3.034567713,-0.099990842,3.225574208
其他长险趸交,大个险,河北省分公司,服务营销渠道,保费合计,11717.47088,33.345075,1022.110762
其他长险趸交,大个险,河北省分公司,服务营销渠道,同比增速,-0.073422308,0.978619153,0.006823332
其他长险趸交,大个险,河南省分公司,个险渠道,保费合计,5265.657244,11.278554,450.441945
其他长险趸交,大个险,河南省分公司,个险渠道,同比增速,0.127516282,0.304673493,0.188924219
其他长险趸交,大个险,河南省分公司,互动渠道,保费合计,303.689,0.001,21.93585185
其他长险趸交,大个险,河南省分公司,互动渠道,同比增速,-0.728303187,0,-0.690660634
其他长险趸交,大个险,河南省分公司,服务营销渠道,保费合计,4598.595396,11.100885,469.1870524
其他长险趸交,大个险,河南省分公司,服务营销渠道,同比增速,1.763182122,16.68304475,1.793005939
其他长险趸交,大个险,湖北省分公司,个险渠道,保费合计,4306.4037,21.773286,405.8485328
其他长险趸交,大个险,湖北省分公司,个险渠道,同比增速,-0.061895135,0.723055386,-0.076858589
其他长险趸交,大个险,湖北省分公司,互动渠道,保费合计,653.789096,5.974033,58.74277952
其他长险趸交,大个险,湖北省分公司,互动渠道,同比增速,0.044500322,0.895230859,0.229426695
其他长险趸交,大个险,湖北省分公司,服务营销渠道,保费合计,3775.52338,10.800124,282.925404
其他长险趸交,大个险,湖北省分公司,服务营销渠道,同比增速,1.021523563,-0.196385263,1.062269747
其他长险趸交,大个险,湖南省分公司,个险渠道,保费合计,4176.694432,8.73828,319.355809
其他长险趸交,大个险,湖南省分公司,个险渠道,同比增速,0.12187896,0.444584964,0.054445694
其他长险趸交,大个险,湖南省分公司,互动渠道,保费合计,20335.11768,32.864973,1685.650607
其他长险趸交,大个险,湖南省分公司,互动渠道,同比增速,-0.495652269,5.807330132,-0.559236877
其他长险趸交,大个险,湖南省分公司,服务营销渠道,保费合计,5050.93724,16.574814,378.2661353
其他长险趸交,大个险,湖南省分公司,服务营销渠道,同比增速,0.395039954,1.109471538,0.452699036
其他长险趸交,大个险,福建省分公司,个险渠道,保费合计,1781.946648,5.060891,139.3014992
其他长险趸交,大个险,福建省分公司,个险渠道,同比增速,0.048804755,1.474533417,-0.060501396
其他长险趸交,大个险,福建省分公司,互动渠道,保费合计,4614.02508,1.612378,511.6753923
其他长险趸交,大个险,福建省分公司,互动渠道,同比增速,-0.286086776,7.118721047,-0.242147606
其他长险趸交,大个险,福建省分公司,服务营销渠道,保费合计,1120.805612,1.365367,90.87603007
其他长险趸交,大个险,福建省分公司,服务营销渠道,同比增速,3.314851755,3.404409677,3.378354899
其他长险趸交,大个险,黑龙江分公司,个险渠道,保费合计,5848.67044,20.7402,421.1021467
其他长险趸交,大个险,黑龙江分公司,个险渠道,同比增速,0.109083925,7.266650723,0.017801702
其他长险趸交,大个险,黑龙江分公司,互动渠道,保费合计,105.36272,0,7.402169374
其他长险趸交,大个险,黑龙江分公司,互动渠道,同比增速,0.22850716,0,0.096916419
其他长险趸交,大个险,黑龙江分公司,服务营销渠道,保费合计,4897.555964,9.818979,442.1441527
其他长险趸交,大个险,黑龙江分公司,服务营销渠道,同比增速,0.695928677,0.882220369,0.689104516
其他长险趸交,非大个险,北京市分公司,团险渠道,保费合计,67008.03068,30.838422,6375.347716
其他长险趸交,非大个险,北京市分公司,团险渠道,同比增速,-0.114190599,-0.327495753,-0.196834453
其他长险趸交,非大个险,北京市分公司,电销渠道,保费合计,56.8416,0,4.815821633
其他长险趸交,非大个险,北京市分公司,电销渠道,同比增速,0.149327488,0,0.082979659
其他长险趸交,非大个险,北京市分公司,银邮渠道,保费合计,3973.431344,0.797316,278.7732801
其他长险趸交,非大个险,北京市分公司,银邮渠道,同比增速,-0.610666306,-0.939953684,-0.718659457
其他长险趸交,非大个险,安徽省分公司,团险渠道,保费合计,2616.1047,0.440145,269.5608243
其他长险趸交,非大个险,安徽省分公司,团险渠道,同比增速,0.067012851,-0.446260977,0.023230847
其他长险趸交,非大个险,安徽省分公司,电销渠道,保费合计,0,0,0
其他长险趸交,非大个险,安徽省分公司,电销渠道,同比增速,0,0,0
其他长险趸交,非大个险,安徽省分公司,银邮渠道,保费合计,605.19216,1.75982,38.16064781
其他长险趸交,非大个险,安徽省分公司,银邮渠道,同比增速,-0.69082482,1.063675595,-0.595882739
其他长险趸交,非大个险,河北省分公司,团险渠道,保费合计,5990.850608,37.580335,492.0575097
其他长险趸交,非大个险,河北省分公司,团险渠道,同比增速,-0.420462445,2.426046197,-0.543005997
其他长险趸交,非大个险,河北省分公司,电销渠道,保费合计,0,0,0
其他长险趸交,非大个险,河北省分公司,电销渠道,同比增速,0,0,0
其他长险趸交,非大个险,河北省分公司,银邮渠道,保费合计,3012.243156,22.92908,301.2372897
其他长险趸交,非大个险,河北省分公司,银邮渠道,同比增速,-0.787604979,-0.549155788,-0.942082089
其他长险趸交,非大个险,河南省分公司,团险渠道,保费合计,66326.74284,9.915037,4613.694208
其他长险趸交,非大个险,河南省分公司,团险渠道,同比增速,17.05182398,0,17.08351824
其他长险趸交,非大个险,河南省分公司,电销渠道,保费合计,0,0,0
其他长险趸交,非大个险,河南省分公司,电销渠道,同比增速,0,0,0
其他长险趸交,非大个险,河南省分公司,银邮渠道,保费合计,3136.591992,11.078985,248.1980681
其他长险趸交,非大个险,河南省分公司,银邮渠道,同比增速,-0.721888397,-0.549656175,-0.636205336
其他长险趸交,非大个险,湖北省分公司,团险渠道,保费合计,1074.830312,4.541328,100.4706912
其他长险趸交,非大个险,湖北省分公司,团险渠道,同比增速,-0.800264923,5.36396861,-0.903689207
其他长险趸交,非大个险,湖北省分公司,电销渠道,保费合计,0,0,0
其他长险趸交,非大个险,湖北省分公司,电销渠道,同比增速,0,0,0
其他长险趸交,非大个险,湖北省分公司,银邮渠道,保费合计,5364.641496,16.780384,516.1693677
其他长险趸交,非大个险,湖北省分公司,银邮渠道,同比增速,-0.376868406,0.072635446,-0.445823384
其他长险趸交,非大个险,湖南省分公司,团险渠道,保费合计,10478.99111,8.421682,944.9952691
其他长险趸交,非大个险,湖南省分公司,团险渠道,同比增速,-0.468553857,3.260346223,-0.466805941
其他长险趸交,非大个险,湖南省分公司,电销渠道,保费合计,0.64,0,0.056677233
其他长险趸交,非大个险,湖南省分公司,电销渠道,同比增速,-0.903540079,0,-1.041035208
其他长险趸交,非大个险,湖南省分公司,银邮渠道,保费合计,4935.748244,34.39534,460.7353075
其他长险趸交,非大个险,湖南省分公司,银邮渠道,同比增速,-0.794629435,-0.252983097,-1.01696975
其他长险趸交,非大个险,福建省分公司,团险渠道,保费合计,1554.427248,4.770603,117.3111656
其他长险趸交,非大个险,福建省分公司,团险渠道,同比增速,-0.983393279,0,-1.143599045
其他长险趸交,非大个险,福建省分公司,电销渠道,保费合计,0,0,0
其他长险趸交,非大个险,福建省分公司,电销渠道,同比增速,0,0,0
其他长险趸交,非大个险,福建省分公司,银邮渠道,保费合计,2143.905,9.04398,177.1188469
其他长险趸交,非大个险,福建省分公司,银邮渠道,同比增速,-0.731998636,-0.277166846,-0.805954936
其他长险趸交,非大个险,黑龙江分公司,团险渠道,保费合计,58.178096,1.042964,3.856422075
其他长险趸交,非大个险,黑龙江分公司,团险渠道,同比增速,-0.832228464,0,-0.961514155
其他长险趸交,非大个险,黑龙江分公司,电销渠道,保费合计,0,0,0
其他长险趸交,非大个险,黑龙江分公司,电销渠道,同比增速,0,0,0
其他长险趸交,非大个险,黑龙江分公司,银邮渠道,保费合计,2202.26472,7.2786,184.7315225
其他长险趸交,非大个险,黑龙江分公司,银邮渠道,同比增速,-0.684568612,-0.437465511,-0.801377962
短期险,大个险,北京市分公司,个险渠道,保费合计,1599.916016,28.1847,122.631317
短期险,大个险,北京市分公司,个险渠道,同比增速,1.066813363,7.686517401,1.04965873
短期险,大个险,北京市分公司,互动渠道,保费合计,8822.10294,13.806734,651.3862821
短期险,大个险,北京市分公司,互动渠道,同比增速,-0.27245949,4.473256954,-0.190109075
短期险,大个险,北京市分公司,服务营销渠道,保费合计,382.79054,3.617481,23.44600489
短期险,大个险,北京市分公司,服务营销渠道,同比增速,0.695235996,10.48771356,0.828888791
短期险,大个险,安徽省分公司,个险渠道,保费合计,1429.46514,7.463224,124.0721429
短期险,大个险,安徽省分公司,个险渠道,同比增速,0.110174255,0.345258301,0.220140215
短期险,大个险,安徽省分公司,互动渠道,保费合计,109.210924,0.850425,8.204853212
短期险,大个险,安徽省分公司,互动渠道,同比增速,-0.840371281,1.83475,-0.776358128
短期险,大个险,安徽省分公司,服务营销渠道,保费合计,557.505028,2.7799,63.59792802
短期险,大个险,安徽省分公司,服务营销渠道,同比增速,0.621581281,1.173155097,0.619148669
短期险,大个险,河北省分公司,个险渠道,保费合计,2958.391916,13.920024,235.5435857
短期险,大个险,河北省分公司,个险渠道,同比增速,0.373666203,0.773545173,0.363851164
短期险,大个险,河北省分公司,互动渠道,保费合计,108.354556,0.2282,7.840213505
短期险,大个险,河北省分公司,互动渠道,同比增速,-0.59883709,-0.730213488,-0.567115268
短期险,大个险,河北省分公司,服务营销渠道,保费合计,1380.491832,6.6803,101.7112524
短期险,大个险,河北省分公司,服务营销渠道,同比增速,1.998504175,2.499921412,1.951862265
短期险,大个险,河南省分公司,个险渠道,保费合计,2601.309836,9.647288,232.6773668
短期险,大个险,河南省分公司,个险渠道,同比增速,0.691567852,1.102554614,0.689865811
短期险,大个险,河南省分公司,互动渠道,保费合计,30.422428,0.1085,2.384519859
短期险,大个险,河南省分公司,互动渠道,同比增速,-0.814947001,-0.65664557,-0.589016106
短期险,大个险,河南省分公司,服务营销渠道,保费合计,588.685784,2.098,49.40510181
短期险,大个险,河南省分公司,服务营销渠道,同比增速,2.159610616,1.994148708,2.064016116
短期险,大个险,湖北省分公司,个险渠道,保费合计,2006.565872,9.469991,181.2156287
短期险,大个险,湖北省分公司,个险渠道,同比增速,0.138447807,0.540574409,0.186595954
短期险,大个险,湖北省分公司,互动渠道,保费合计,190.792488,0.9358,21.39311539
短期险,大个险,湖北省分公司,互动渠道,同比增速,0.159415082,0.108899159,0.165741281
短期险,大个险,湖北省分公司,服务营销渠道,保费合计,687.879812,6.368629,55.86608312
短期险,大个险,湖北省分公司,服务营销渠道,同比增速,1.990731443,3.014263473,2.013949547
短期险,大个险,湖南省分公司,个险渠道,保费合计,1908.947592,9.377189,165.6474888
短期险,大个险,湖南省分公司,个险渠道,同比增速,2.459893424,1.767280992,2.317487333
短期险,大个险,湖南省分公司,互动渠道,保费合计,189.08372,0.6231,17.16857671
短期险,大个险,湖南省分公司,互动渠道,同比增速,-0.419282058,-0.557771469,-0.473568206
短期险,大个险,湖南省分公司,服务营销渠道,保费合计,577.53522,3.403298,45.00706945
短期险,大个险,湖南省分公司,服务营销渠道,同比增速,1.693197658,0.995723907,1.577579415
短期险,大个险,福建省分公司,个险渠道,保费合计,921.924928,2.1341,61.50689367
短期险,大个险,福建省分公司,个险渠道,同比增速,0.38325559,-0.014591125,0.176257087
短期险,大个险,福建省分公司,互动渠道,保费合计,56.633524,0.259055,4.406414865
短期险,大个险,福建省分公司,互动渠道,同比增速,-0.562001087,-0.326613899,-0.494310283
短期险,大个险,福建省分公司,服务营销渠道,保费合计,179.856472,0.392459,16.76963729
短期险,大个险,福建省分公司,服务营销渠道,同比增速,0.257732289,7.879162896,0.218005108
短期险,大个险,黑龙江分公司,个险渠道,保费合计,3086.928268,19.885892,270.678276
短期险,大个险,黑龙江分公司,个险渠道,同比增速,0.181373098,1.558670112,0.150471801
短期险,大个险,黑龙江分公司,互动渠道,保费合计,19.847788,0.02,2.295074638
短期险,大个险,黑龙江分公司,互动渠道,同比增速,-0.861133619,-0.818181818,-0.745900463
短期险,大个险,黑龙江分公司,服务营销渠道,保费合计,410.55826,1.801254,28.99578944
短期险,大个险,黑龙江分公司,服务营销渠道,同比增速,0.877061308,0.817429119,0.795724882
短期险,非大个险,北京市分公司,团险渠道,保费合计,116122.2406,27.845577,8903.625616
短期险,非大个险,北京市分公司,团险渠道,同比增速,1.161601529,2.676569101,1.104022732
短期险,非大个险,北京市分公司,电销渠道,保费合计,527.560744,2.4172,42.94731089
短期险,非大个险,北京市分公司,电销渠道,同比增速,-0.429848235,0.67303433,-0.461781077
短期险,非大个险,北京市分公司,银邮渠道,保费合计,46.062216,0.2282,3.441825394
短期险,非大个险,北京市分公司,银邮渠道,同比增速,-0.715200808,0.616147309,-0.645725894
短期险,非大个险,安徽省分公司,团险渠道,保费合计,2788.129988,18.60263,264.3076561
短期险,非大个险,安徽省分公司,团险渠道,同比增速,-0.028932787,-0.12757513,-0.167269183
短期险,非大个险,安徽省分公司,电销渠道,保费合计,0,0,0
短期险,非大个险,安徽省分公司,电销渠道,同比增速,-1,0,0
短期险,非大个险,安徽省分公司,银邮渠道,保费合计,80.662424,0.8388,6.101194756
短期险,非大个险,安徽省分公司,银邮渠道,同比增速,-0.693555534,0.677264547,-0.81244146
短期险,非大个险,河北省分公司,团险渠道,保费合计,6704.624792,79.13596,610.2676721
短期险,非大个险,河北省分公司,团险渠道,同比增速,-0.258143652,3.646924899,-0.317775056
短期险,非大个险,河北省分公司,电销渠道,保费合计,451.4068,0.642,37.94971902
短期险,非大个险,河北省分公司,电销渠道,同比增速,-0.77666794,-0.876276739,-0.970295921
短期险,非大个险,河北省分公司,银邮渠道,保费合计,154.129868,0.7408,12.45236565
短期险,非大个险,河北省分公司,银邮渠道,同比增速,-0.79426233,-0.602788204,-0.741873228
短期险,非大个险,河南省分公司,团险渠道,保费合计,10550.4275,1396.70901,866.4336468
短期险,非大个险,河南省分公司,团险渠道,同比增速,-0.276223205,180.8915729,-0.307311822
短期险,非大个险,河南省分公司,电销渠道,保费合计,26.471316,0.2538,2.170705159
短期险,非大个险,河南省分公司,电销渠道,同比增速,0.113333855,1.426386233,0.15323849
短期险,非大个险,河南省分公司,银邮渠道,保费合计,44.98088,0.0736,6.968578274
短期险,非大个险,河南省分公司,银邮渠道,同比增速,-0.788190773,-0.904253935,-0.592599542
短期险,非大个险,湖北省分公司,团险渠道,保费合计,7578.325104,18.15314,592.9745249
短期险,非大个险,湖北省分公司,团险渠道,同比增速,-0.40250499,-0.009309461,-0.467745848
短期险,非大个险,湖北省分公司,电销渠道,保费合计,0,0,0
短期险,非大个险,湖北省分公司,电销渠道,同比增速,-1,0,0
短期险,非大个险,湖北省分公司,银邮渠道,保费合计,213.45656,0.6517,16.4355596
短期险,非大个险,湖北省分公司,银邮渠道,同比增速,-0.597950944,-0.605842268,-0.609561338
短期险,非大个险,湖南省分公司,团险渠道,保费合计,16227.29837,4.1751,2044.092771
短期险,非大个险,湖南省分公司,团险渠道,同比增速,-0.114663348,0.626894751,0.091785938
短期险,非大个险,湖南省分公司,电销渠道,保费合计,0.8344,0,0.070838421
短期险,非大个险,湖南省分公司,电销渠道,同比增速,-0.83094254,-1,-0.728925269
短期险,非大个险,湖南省分公司,银邮渠道,保费合计,107.063552,0.4722,10.08520699
短期险,非大个险,湖南省分公司,银邮渠道,同比增速,-0.639835976,-0.403411244,-0.486198271
短期险,非大个险,福建省分公司,团险渠道,保费合计,2470.251528,5.698225,196.4776069
短期险,非大个险,福建省分公司,团险渠道,同比增速,-0.539552374,0.997116597,-0.478667991
短期险,非大个险,福建省分公司,电销渠道,保费合计,0,0,0
短期险,非大个险,福建省分公司,电销渠道,同比增速,-1,0,0
短期险,非大个险,福建省分公司,银邮渠道,保费合计,514.591816,1.1744,35.68031119
短期险,非大个险,福建省分公司,银邮渠道,同比增速,0.195860085,4.537010844,0.264841901
短期险,非大个险,黑龙江分公司,团险渠道,保费合计,2334.547612,19.471485,159.8600914
短期险,非大个险,黑龙江分公司,团险渠道,同比增速,-0.551700588,-0.089154581,-0.614509344
短期险,非大个险,黑龙江分公司,电销渠道,保费合计,0,0,0
短期险,非大个险,黑龙江分公司,电销渠道,同比增速,-1,0,0
短期险,非大个险,黑龙江分公司,银邮渠道,保费合计,63.797216,1.6468,3.841393063
短期险,非大个险,黑龙江分公司,银邮渠道,同比增速,-0.71984717,1.511897498,-0.825848752
长险趸交,大个险,北京市分公司,个险渠道,保费合计,4385.248848,3.844362,373.9095526
长险趸交,大个险,北京市分公司,个险渠道,同比增速,-0.198230165,0.788557844,-0.084541029
长险趸交,大个险,北京市分公司,互动渠道,保费合计,11531.23464,0.645716,945.5358109
长险趸交,大个险,北京市分公司,互动渠道,同比增速,-0.638596302,321.858,-0.580300934
长险趸交,大个险,北京市分公司,服务营销渠道,保费合计,8909.87226,13.837494,795.4460469
长险趸交,大个险,北京市分公司,服务营销渠道,同比增速,1.28834801,4.531015269,1.325353599
长险趸交,大个险,安徽省分公司,个险渠道,保费合计,2491.285276,7.63815,162.6562264
长险趸交,大个险,安徽省分公司,个险渠道,同比增速,-0.310183523,-0.190552391,-0.321999928
长险趸交,大个险,安徽省分公司,互动渠道,保费合计,441.83088,0.002,41.52684967
长险趸交,大个险,安徽省分公司,互动渠道,同比增速,-0.793779125,0,-0.727140817
长险趸交,大个险,安徽省分公司,服务营销渠道,保费合计,2057.23536,6.06809,185.6951879
长险趸交,大个险,安徽省分公司,服务营销渠道,同比增速,0.005127159,0.297917758,-0.128298688
长险趸交,大个险,河北省分公司,个险渠道,保费合计,10767.33852,32.84342,804.2802072
长险趸交,大个险,河北省分公司,个险渠道,同比增速,-0.378937596,-0.207737409,-0.39489494
长险趸交,大个险,河北省分公司,互动渠道,保费合计,6746.540024,2.751796,575.0252985
长险趸交,大个险,河北省分公司,互动渠道,同比增速,1.061878035,-0.099990842,1.169652416
长险趸交,大个险,河北省分公司,服务营销渠道,保费合计,12446.08008,33.345075,1276.999302
